t,ur,ui,ir,ii,omega
9.4,-0.0911778141862642,0.9808419361699869,-0.19807537633950467,-1.9329845392639222,0.018150346610601442
9.5,-0.08863726874713834,0.980596193746116,-0.1812794037447879,-2.0791755184341767,-0.025461215035151863
9.6,-0.08789853012617754,0.9793909677062623,-0.17165488770490434,-2.010829301743463,-0.006378746077109199
9.7,-0.09027639691993544,0.9814817254110523,-0.20414293660986527,-1.9564006841120714,0.022132753499095603
9.8,-0.08729514620152828,0.9829472069706249,-0.1876262937454496,-1.989168600792555,-0.03144408296102741
9.9,-0.0896605271429462,0.9797279039193842,-0.178046748057761,-1.9965204855471685,0.026843219233965154
10.0,-0.09029919445190598,0.9849794475491479,-0.19841575424217972,-1.9585006537143517,0.0015914368485292485
10.1,-0.08710040570165223,0.9768408425525466,-0.16113475905603092,-2.060210454715339,-0.02490457627589704
10.2,-0.08863245564390276,0.9801249193259494,-0.16445945585810018,-2.0073516442402357,0.012542391864918123
10.3,-0.09263426557646609,0.9880797299415761,-0.21499691038186275,-1.9524229175043168,0.03294118792210199
10.4,-0.09076931559177764,0.9773269164852423,-0.19140943952957734,-2.0408398952268527,-0.008691642481366557
10.5,-0.08846630374364617,0.980636281491217,-0.16740979547430823,-1.9805951155831587,-0.026397901301384863
10.6,-0.08964942197032105,0.9807866394407729,-0.1828124046661227,-2.0233295795222945,0.011827120350260678
10.7,-0.09063222712239438,0.9763375230173368,-0.2117002542984434,-1.9570176813222988,0.014111799053031504
10.8,-0.08853036144807125,0.9825484979139738,-0.09586608898752569,-2.0277639547303226,-0.027033776038567492
10.9,-0.09325812939122508,0.9816743029615144,-0.2151015753294635,-2.014725475837556,0.04854669891478203
11.0,-0.09278410637216844,0.9841419498467059,-0.22475951581145948,-1.9099382272222574,-0.0071347246554709365
11.1,-0.08725834009941807,0.9843559392994755,-0.17421286337844522,-1.9644150050897575,-0.05587326835597484
11.2,-0.089592887482984,0.982637171710199,-0.12622238772938987,-2.0252663341051913,0.025105540707484053
11.3,-0.09541504123933209,0.988176156024024,-0.20675724878186375,-2.040273577208425,0.05333745267442014
11.4,-0.08934791248188573,0.9852513355036292,-0.18694367822303737,-1.9249989878452523,-0.05820281372881819
11.5,-0.09023888131344943,0.9827437191607757,-0.19500813229940217,-1.9661752572908378,0.011286123733900144
11.6,-0.09291608925972189,0.9840618361188651,-0.19912694448333645,-2.045618305436634,0.025752412869337604
11.7,-0.08771721647612873,0.9839268718292675,-0.14443262324349604,-2.0315555523452233,-0.05226802977616796
11.8,-0.08340568399388304,0.9831567939059163,-0.15517052011223065,-1.8847042503714337,-0.04283148031858364
11.9,-0.06426363446297606,0.9801297191968951,-0.1223148976102103,-1.6790062306830082,-0.19159184893857706
12.0,-0.027926995621175232,0.9785057473860337,-0.11142683610941362,-1.403173629779028,-0.369400383398073
12.1,0.015558712155065046,0.9717363095193114,-0.08520468910714302,-1.1011524329479627,-0.445425869382452
12.2,0.07494663603278223,0.962537202346247,-0.04434193702032313,-0.73582325899863,-0.6169695832194577
12.3,0.1538745864335611,0.94972009313855,0.05148305017250418,-0.5197487703376527,-0.8291833979153385
12.4,0.2420574201268535,0.9279594986953866,0.11984508103910477,-0.3491673850980488,-0.9453807026804695
12.5,0.34431493031773663,0.8901003020006402,0.31940082714548057,-0.14614088211751255,-1.1393586724811366
12.6,0.4556640119064238,0.8326193908831591,0.42603199208772113,0.045037164034850585,-1.3164237978075977
12.7,0.5728195899849595,0.7544054076486888,0.46087896055550714,0.08581202792014286,-1.4868472461974314
12.8,0.684603282768731,0.649544056913814,0.3740082272451538,0.01983815255723026,-1.6224427217815773
12.9,0.7810717317038217,0.5315258839559381,0.18287674924057945,0.043325183864903326,-1.6160160149137548
13.0,0.8647770362576335,0.39464952427112665,-0.13496937266121323,0.026880187658749007,-1.693940502745963
13.1,0.9295193584674712,0.24886149660510704,-0.7033437635678357,-0.1086514894390323,-1.6653403069928996
13.2,0.9615027804201806,0.09720389197190016,-0.8969204368655312,-0.0769505543794875,-1.6084266696030391
13.3,0.9684807445030662,-0.060840410952634816,-1.1153110974526212,0.16062314556557822,-1.6349150593782553
13.4,0.9496766442340028,-0.21800984472628154,-1.2887594657626262,0.4629707714180585,-1.6291450734465796
13.5,0.9021129109521003,-0.3669106507535072,-1.2145453150386558,0.7466138853302391,-1.6063662101773126
13.6,0.8379464807345448,-0.5009505998282302,-1.0544371519410956,0.9451677732341297,-1.5253416185899005
